id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDP,16,748,286981.0,383.66443,52073500,500,1000
-1,FFDP,16,748,286981.0,383.66443,21270300,500,1000
-1,FFDP,16,748,286981.0,383.66443,32968700,500,1000
-1,FFDP,16,748,286981.0,383.66443,12248000,500,1000
-1,FFDP,16,748,286981.0,383.66443,8306200,500,1000
-1,FFDP,16,748,286981.0,383.66443,6813500,500,1000
-1,FFDP,16,748,286981.0,383.66443,10026900,500,1000
-1,FFDP,16,748,286981.0,383.66443,7475500,500,1000
-1,FFDP,16,748,286981.0,383.66443,6261400,500,1000
-1,FFDP,16,748,286981.0,383.66443,6663800,500,1000
-1,FFDP,16,748,286981.0,383.66443,4492700,500,1000
-1,FFDP,16,748,286981.0,383.66443,5077800,500,1000
-1,FFDP,16,748,286981.0,383.66443,4680800,500,1000
-1,FFDP,16,748,286981.0,383.66443,4317100,500,1000
-1,FFDP,16,748,286981.0,383.66443,5668200,500,1000
-1,FFDP,16,748,286981.0,383.66443,14281600,500,1000
-1,FFDP,16,748,286981.0,383.66443,7398300,500,1000
-1,FFDP,16,748,286981.0,383.66443,4513200,500,1000
-1,FFDP,16,748,286981.0,383.66443,8280500,500,1000
-1,FFDP,16,748,286981.0,383.66443,11500700,500,1000
-1,FFDP,16,748,286981.0,383.66443,214122000,500,1000
-1,FFDP,16,748,286981.0,383.66443,9326400,500,1000
-1,FFDP,16,748,286981.0,383.66443,49441400,500,1000
-1,FFDP,16,748,286981.0,383.66443,22101800,500,1000
-1,FFDP,16,748,286981.0,383.66443,6662600,500,1000
-1,FFDP,16,748,286981.0,383.66443,13364500,500,1000
-1,FFDP,16,748,286981.0,383.66443,6325100,500,1000
-1,FFDP,16,748,286981.0,383.66443,15342700,500,1000
-1,FFDP,16,748,286981.0,383.66443,6848600,500,1000
-1,FFDP,16,748,286981.0,383.66443,10102200,500,1000
