id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDP,4,748,286981.0,383.66443,16507100,500,1000
-1,FFDP,4,748,286981.0,383.66443,15709700,500,1000
-1,FFDP,4,748,286981.0,383.66443,11232300,500,1000
-1,FFDP,4,748,286981.0,383.66443,12355900,500,1000
-1,FFDP,4,748,286981.0,383.66443,6635800,500,1000
-1,FFDP,4,748,286981.0,383.66443,4220200,500,1000
-1,FFDP,4,748,286981.0,383.66443,8865400,500,1000
-1,FFDP,4,748,286981.0,383.66443,16095800,500,1000
-1,FFDP,4,748,286981.0,383.66443,77109900,500,1000
-1,FFDP,4,748,286981.0,383.66443,18197000,500,1000
-1,FFDP,4,748,286981.0,383.66443,43183800,500,1000
-1,FFDP,4,748,286981.0,383.66443,49677400,500,1000
-1,FFDP,4,748,286981.0,383.66443,37539000,500,1000
-1,FFDP,4,748,286981.0,383.66443,27737500,500,1000
-1,FFDP,4,748,286981.0,383.66443,13423500,500,1000
-1,FFDP,4,748,286981.0,383.66443,25885100,500,1000
-1,FFDP,4,748,286981.0,383.66443,4686300,500,1000
-1,FFDP,4,748,286981.0,383.66443,4159200,500,1000
-1,FFDP,4,748,286981.0,383.66443,3592500,500,1000
-1,FFDP,4,748,286981.0,383.66443,2240900,500,1000
-1,FFDP,4,748,286981.0,383.66443,2958900,500,1000
-1,FFDP,4,748,286981.0,383.66443,2265400,500,1000
-1,FFDP,4,748,286981.0,383.66443,1812400,500,1000
-1,FFDP,4,748,286981.0,383.66443,1732100,500,1000
-1,FFDP,4,748,286981.0,383.66443,1465100,500,1000
-1,FFDP,4,748,286981.0,383.66443,1939700,500,1000
-1,FFDP,4,748,286981.0,383.66443,1833200,500,1000
-1,FFDP,4,748,286981.0,383.66443,1752600,500,1000
-1,FFDP,4,748,286981.0,383.66443,1976300,500,1000
-1,FFDP,4,748,286981.0,383.66443,1937100,500,1000
