id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDP,5,748,286981.0,383.66443,16775000,500,1000
-1,FFDP,5,748,286981.0,383.66443,9253100,500,1000
-1,FFDP,5,748,286981.0,383.66443,9987500,500,1000
-1,FFDP,5,748,286981.0,383.66443,11868900,500,1000
-1,FFDP,5,748,286981.0,383.66443,13385500,500,1000
-1,FFDP,5,748,286981.0,383.66443,3912300,500,1000
-1,FFDP,5,748,286981.0,383.66443,3188500,500,1000
-1,FFDP,5,748,286981.0,383.66443,43492100,500,1000
-1,FFDP,5,748,286981.0,383.66443,158514000,500,1000
-1,FFDP,5,748,286981.0,383.66443,21814300,500,1000
-1,FFDP,5,748,286981.0,383.66443,2641600,500,1000
-1,FFDP,5,748,286981.0,383.66443,22068800,500,1000
-1,FFDP,5,748,286981.0,383.66443,9770000,500,1000
-1,FFDP,5,748,286981.0,383.66443,53655500,500,1000
-1,FFDP,5,748,286981.0,383.66443,17053300,500,1000
-1,FFDP,5,748,286981.0,383.66443,3194500,500,1000
-1,FFDP,5,748,286981.0,383.66443,7871800,500,1000
-1,FFDP,5,748,286981.0,383.66443,2281100,500,1000
-1,FFDP,5,748,286981.0,383.66443,14982700,500,1000
-1,FFDP,5,748,286981.0,383.66443,5561300,500,1000
-1,FFDP,5,748,286981.0,383.66443,3551000,500,1000
-1,FFDP,5,748,286981.0,383.66443,2090200,500,1000
-1,FFDP,5,748,286981.0,383.66443,2742400,500,1000
-1,FFDP,5,748,286981.0,383.66443,4156000,500,1000
-1,FFDP,5,748,286981.0,383.66443,6353100,500,1000
-1,FFDP,5,748,286981.0,383.66443,3245700,500,1000
-1,FFDP,5,748,286981.0,383.66443,4004900,500,1000
-1,FFDP,5,748,286981.0,383.66443,3773700,500,1000
-1,FFDP,5,748,286981.0,383.66443,9212900,500,1000
-1,FFDP,5,748,286981.0,383.66443,5175300,500,1000
