id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDP,8,748,286981.0,383.66443,18257500,500,1000
-1,FFDP,8,748,286981.0,383.66443,9430500,500,1000
-1,FFDP,8,748,286981.0,383.66443,9179800,500,1000
-1,FFDP,8,748,286981.0,383.66443,8629300,500,1000
-1,FFDP,8,748,286981.0,383.66443,14039800,500,1000
-1,FFDP,8,748,286981.0,383.66443,4148400,500,1000
-1,FFDP,8,748,286981.0,383.66443,2482200,500,1000
-1,FFDP,8,748,286981.0,383.66443,3387800,500,1000
-1,FFDP,8,748,286981.0,383.66443,6518400,500,1000
-1,FFDP,8,748,286981.0,383.66443,4201400,500,1000
-1,FFDP,8,748,286981.0,383.66443,5207100,500,1000
-1,FFDP,8,748,286981.0,383.66443,28187900,500,1000
-1,FFDP,8,748,286981.0,383.66443,75197100,500,1000
-1,FFDP,8,748,286981.0,383.66443,167753100,500,1000
-1,FFDP,8,748,286981.0,383.66443,54192500,500,1000
-1,FFDP,8,748,286981.0,383.66443,14434700,500,1000
-1,FFDP,8,748,286981.0,383.66443,7873200,500,1000
-1,FFDP,8,748,286981.0,383.66443,4618500,500,1000
-1,FFDP,8,748,286981.0,383.66443,3973800,500,1000
-1,FFDP,8,748,286981.0,383.66443,3931300,500,1000
-1,FFDP,8,748,286981.0,383.66443,6782900,500,1000
-1,FFDP,8,748,286981.0,383.66443,3726900,500,1000
-1,FFDP,8,748,286981.0,383.66443,2963200,500,1000
-1,FFDP,8,748,286981.0,383.66443,3221900,500,1000
-1,FFDP,8,748,286981.0,383.66443,3444200,500,1000
-1,FFDP,8,748,286981.0,383.66443,2598200,500,1000
-1,FFDP,8,748,286981.0,383.66443,2241300,500,1000
-1,FFDP,8,748,286981.0,383.66443,2726900,500,1000
-1,FFDP,8,748,286981.0,383.66443,2225700,500,1000
-1,FFDP,8,748,286981.0,383.66443,4301100,500,1000
